Name,Crossing Number,Jones,Volume,Meridian Length,Mosaic/Tile-Number
3_1,3,t+ t^3-t^4,0,Not Hyperbolic,{ 4 ; 12 }
9_39,9,-t^(-8)+ 3*t^(-7)-6*t^(-6)+ 8*t^(-5)-9*t^(-4)+ 10*t^(-3)-8*t^(-2)+ 6*t^(-1)-3+ t,12.8103100033,1.430371399,{ 7 ; 29 }
9_40,9,-t^(-2)+ 5*t^(-1)-8+ 11*t-13*t^2+ 13*t^3-11*t^4+ 8*t^5-4*t^6+ t^7,15.0183428578,1.582347184,{ 7 ; 31 }
9_41,9,t^(-6)-3*t^(-5)+ 5*t^(-4)-7*t^(-3)+ 8*t^(-2)-8*t^(-1)+ 8-5*t+ 3*t^2-t^3,12.0989360259,1.618033989,{ 7 ; 31 }
9_42,9,t^(-3)-t^(-2)+ t^(-1)-1+ t-t^2+ t^3,4.0568602242,1.553898243,{ 7 ; 29 }
9_43,9,1-t+ 2*t^2-2*t^3+ 2*t^4-2*t^5+ 2*t^6-t^7,5.9040858585,1.492732816,{ 7 ; 29 }
9_44,9,t^(-2)-2*t^(-1)+ 3-3*t+ 3*t^2-2*t^3+ 2*t^4-t^5,7.4067675723,1.363396072,{ 7 ; 29 }
9_45,9,-t^(-8)+ 2*t^(-7)-3*t^(-6)+ 4*t^(-5)-4*t^(-4)+ 4*t^(-3)-3*t^(-2)+ 2*t^(-1),8.6020311664,1.37004781,{ 7 ; 29 }
9_46,9,t^(-6)-t^(-5)+ t^(-4)-2*t^(-3)+ t^(-2)-t^(-1)+ 2,4.7517019655,1.806878752,{ 6 ; 27 }
9_47,9,-t^(-2)+ 3*t^(-1)-3+ 5*t-5*t^2+ 4*t^3-4*t^4+ 2*t^5,10.0499578612,1.556030191,{ 7 ; 29 }
9_48,9,-2*t^(-6)+ 3*t^(-5)-4*t^(-4)+ 6*t^(-3)-4*t^(-2)+ 4*t^(-1)-3+ t,9.5318798358,1.356203066,{ 6 ; 27 }
9_49,9,t^2-2*t^3+ 4*t^4-4*t^5+ 5*t^6-4*t^7+ 3*t^8-2*t^9,9.4270736277,1.52470258,{ 7 ; 29 }
10_1,10,t^(-2)-t^(-1)+ 2-2*t+ 2*t^2-2*t^3+ 2*t^4-2*t^5+ t^6-t^7+ t^8,3.5261959907,1.366191161,{ 6 ; 27 }
10_2,10,t-t^2+ 2*t^3-2*t^4+ 3*t^5-3*t^6+ 3*t^7-3*t^8+ 2*t^9-2*t^10+ t^11,5.1148414603,1.383682411,{ 6 ; 27 }
10_3,10,t^(-4)-t^(-3)+ 2*t^(-2)-3*t^(-1)+ 4-4*t+ 3*t^2-3*t^3+ 2*t^4-t^5+ t^6,5.7321047867,1.534845531,{ 6 ; 27 }
10_4,10,t^(-5)-2*t^(-4)+ 3*t^(-3)-3*t^(-2)+ 4*t^(-1)-4+ 3*t-3*t^2+ 2*t^3-t^4+ t^5,5.8171296928,1.530559066,{ 6 ; 27 }
